date,day_start_ts_s,price_open_usd,price_high_usd,price_low_usd,price_close_usd,market_cap_close_usd,volume_24h_close_usd
2025-03-20,1742428800.0,2060.728601068271,2060.728601068271,1955.4681723488773,1975.7432130428801,238352187417.7509,14469856215.318146
2025-03-21,1742515200.0,1979.9131141463024,1993.5797291895099,1942.7978102059253,1965.6981841491188,237176383647.51505,8979357355.309633
2025-03-22,1742601600.0,1964.5293833168294,1996.833812587936,1964.5293833168294,1984.572962610795,239508898044.3393,6007690813.2500515
2025-03-23,1742688000.0,1980.4561194459652,2016.8712243848674,1980.4561194459652,1987.3313825065113,239738912244.8685,7354692929.359514
2025-03-24,1742774400.0,2007.2145514705949,2097.1807859447226,1981.372306444757,2075.3722622891064,250718072659.27142,15627297723.32131
2025-03-25,1742860800.0,2078.6015272329155,2088.112918424497,2042.5706618047136,2062.9823608455627,248902707623.76794,12272426814.211977
2025-03-26,1742947200.0,2066.470087193809,2076.3726528494803,1996.728025450426,2001.4605554632865,241829642536.11435,13959504768.713379
2025-03-27,1743033600.0,2009.342849130818,2032.4229209455207,1999.8365428296447,2007.7663536527648,242320163662.33087,12279615748.252283
2025-03-28,1743120000.0,2002.1534229050983,2008.3803478565842,1867.8447962579319,1899.9353681994535,229237123851.2643,17036908827.631336
2025-03-29,1743206400.0,1896.9173600459985,1909.8412624177538,1814.869605045779,1814.869605045779,219178696167.32254,12672097761.647924
2025-03-30,1743292800.0,1827.7705067756945,1845.2468215120737,1794.8731532409388,1806.1353660316297,218376676808.2595,10310786810.43343
2025-03-31,1743379200.0,1806.549195782867,1845.2920898176912,1784.0721851268927,1824.4551444947813,220056296018.54785,17074276056.876894
2025-04-01,1743465600.0,1823.748753250691,1921.0572974239867,1823.748753250691,1911.025610098203,230654659690.0904,16082358575.458101
2025-04-02,1743552000.0,1905.2233086975891,1907.1408902562132,1795.5748762177618,1795.5748762177618,216948339639.9078,22503991920.492573
2025-04-03,1743638400.0,1794.3683914039525,1836.106579701171,1758.4202382008777,1811.3080479312866,218415734343.2893,18392352463.481407
2025-04-04,1743724800.0,1816.778141222716,1831.3864683139946,1784.5597333187225,1819.51137614555,219561537302.66565,19614878447.16773
2025-04-05,1743811200.0,1812.8636402718714,1822.9654232307414,1782.4719890365761,1796.6380815832538,216749830148.42804,6763606923.153199
2025-04-06,1743897600.0,1806.9138407099463,1810.8210811459035,1569.2502317173878,1569.2502317173878,190193510418.9243,21921944766.50662
2025-04-07,1743984000.0,1579.0366252686324,1579.0366252686324,1431.7317354788427,1577.9143266235733,190861117422.23813,51732236410.05973
2025-04-08,1744070400.0,1559.033144324226,1593.7402813338936,1464.1916779991018,1464.1916779991018,176608910051.27933,22121694883.81907
2025-04-09,1744156800.0,1472.0913986626454,1672.6973219065605,1417.3548396971037,1668.8850763920027,201493904475.1473,42741888705.73418
2025-04-10,1744243200.0,1667.065136499343,1667.065136499343,1501.1248472301354,1525.0304095343854,184051122906.91534,21161560985.71467
2025-04-11,1744329600.0,1521.3245487030365,1580.7741146123458,1510.667697486076,1566.1193095553028,189049104841.09805,14295111264.523043
2025-04-12,1744416000.0,1567.256910374535,1657.3552467517923,1549.0539856066391,1650.4492765830848,199174017179.99313,11710207689.78328
2025-04-13,1744502400.0,1644.2784770464837,1644.2784770464837,1574.108652903949,1586.9159197553051,191725916015.07385,13631779182.04775
2025-04-14,1744588800.0,1596.4089120380506,1677.744630055882,1596.4089120380506,1621.0722122683167,195671806874.35406,15115037147.77337
2025-04-15,1744675200.0,1623.2257239346889,1645.9341875653424,1590.0684608612298,1590.0684608612298,191801206249.7307,11869795690.25208
2025-04-16,1744761600.0,1587.7746605269765,1597.3207135174073,1562.976578465612,1588.6153179434,191714858333.08093,13289765349.208965
2025-04-17,1744848000.0,1577.8368493093656,1611.5233713288285,1571.301179521792,1584.3180582857574,191336929896.9879,10745962686.25825
2025-04-18,1744934400.0,1583.445590655848,1597.1879250798809,1578.7931714332728,1593.2650533838225,192308351329.03964,5298935310.022977
